,postcode
639,6674
640,6830
641,6941
642,3390
643,3202
644,1600
645,3060
646,9320
647,9090
648,9230
649,9880
650,9970
651,9420
652,9260
653,4721
654,4350
655,4100
656,4852
657,4218
658,7511
659,7800
660,7022
661,7533
662,7090
663,7032
664,1082
665,1400
666,2812
667,2910
668,2990
669,5362
670,3631
671,3971
672,8500
673,8710
674,6743
675,6790
676,6811
677,6856
678,6887
679,6972
680,3221
681,3000
682,1980
683,3220
684,1861
685,1760
686,1670
687,1755
688,3460
689,5190
690,5010
691,5101
692,5524
693,3930
694,3945
695,8300
696,8531
697,8790
698,8792
699,6920
700,9521
701,4040
702,4801
703,4280
704,4700
705,4357
706,4980
707,6001
708,7970
709,7972
710,7803
711,6042
712,612
713,1000
714,2275
715,2650
716,2030
717,2950
718,6831
719,6971
720,1804
721,1671
722,1730
723,1702
724,3111
725,1560
726,1601
727,9111
728,9470
729,9950
730,9688
731,9831
732,4633
733,6180
734,7060
735,6030
736,6099
737,6463
738,7742
739,6183
740,7390
741,6220
742,7133
743,1212
744,1210
745,1083
746,1190
747,1357
748,1367
749,1428
750,2540
751,2970
752,2290
753,5353
754,3540
755,3668
756,3890
757,8902
758,8958
759,8980
760,6851
761,6929
762,6986
763,3471
764,3110
765,9255
766,9660
767,9551
768,4000
769,4347
770,4791
771,4219
772,4052
773,8511
774,8780
775,6760
776,3391
777,1980
778,3071
779,5520
780,5070
781,5336
782,3670
783,3732
784,3940
785,3960
786,8340
787,8420
788,8573
789,6706
790,3211
791,1910
792,9120
793,9520
794,9667
795,4452
796,4101
797,4210
798,4802
799,4900
800,6470
801,7801
802,7080
803,7811
804,6031
805,7640
806,7782
807,7743
808,6591
809,7180
810,6182
811,7011
812,7502
813,6590
814,7062
815,6223
816,1110
817,1005
818,1310
819,2980
820,2960
821,2222
822,2580
823,3061
824,1547
825,9400
826,9960
827,9400
828,4650
829,4840
830,4537
831,7513
832,7850
833,7971
834,7501
835,7160
836,7643
837,7642
838,7870
839,6543
840,7387
841,1035
842,1348
843,1470
844,2930
845,2920
846,2180
847,2660
848,612
849,5060
850,5560
851,5374
852,3500
853,3511
854,3570
855,3920
856,8450
857,8501
858,8510
859,8551
860,8793
861,8860
862,8950
863,8953
864,6750
865,6762
866,1652
867,1701
868,1620
869,5310
870,5670
871,3792
872,8620
873,8951
874,6670
875,6721
876,6767
877,1934
878,3018
879,3201
880,3360
881,3080
882,3380
883,1651
884,9921
885,9931
886,4170
887,4400
888,4122
889,4121
890,4099
891,4631
892,4890
893,4470
894,7542
895,7331
896,7600
897,6111
898,6040
899,7520
900,1341
901,1350
902,2242
903,2850
904,2491
905,2480
906,5360
907,5646
908,5503
909,5563
910,5002
911,3832
912,8600
913,8920
914,6720
915,6823
916,6927
917,1500
918,3454
919,1850
920,1970
921,9075
922,9870
923,9040
924,9961
925,9060
926,9990
927,4180
928,4682
929,4317
930,4340
931,4460
932,4720
933,7031
934,7322
935,6043
936,7621
937,6222
938,7866
939,7950
940,1047
941,1099
942,1040
943,2380
944,2020
945,2018
946,3470
947,9404
948,9840
949,9506
950,9160
951,9900
952,4420
953,6150
954,7610
955,7522
956,7370
957,7602
958,6010
959,7321
960,7906
961,7608
962,1315
963,1473
964,2280
965,2040
966,4287
967,4620
968,4217
969,5372
970,5354
971,5021
972,3790
973,3900
974,8433
975,8583
976,8810
977,8870
978,6673
979,6681
980,6690
981,6792
982,6833
983,1770
984,3473
985,3020
986,1981
987,5003
988,5340
989,6661
990,5680
991,5330
992,5562
993,3870
994,8211
995,8890
996,6984
997,4360
998,7880
999,3190
1000,9800
1001,4780
1002,4630
1003,4760
1004,4171
1005,7538
1006,6530
1007,6280
1008,6592
1009,1009
1010,1048
1011,1080
1012,2600
1013,2340
1014,2861
1015,2440
1016,2070
1017,2880
1018,2221
1019,3078
1020,3384
1021,3191
1022,1701
1023,9310
1024,9042
1025,9520
1026,9552
1027,4728
1028,4520
1029,4987
1030,4557
1031,7130
1032,7503
1033,7622
1034,7603
1035,7041
1036,1170
1037,1332
