LivingArea,BedroomCount,SwimmingPool,Density,Median_revenue,ConstructionYear,PEB_numerical,StateOfBuilding_numerical,BathroomCount,Kitchen_numerical,Terrace,Garden,Province_numerical
74.0,1,0.0,908.556349589996,29749.01,2023.0,,,1.0,7.0,1.0,0.0,2732.0
107.0,3,0.0,908.556349589996,29749.01,2023.0,,,1.0,7.0,1.0,0.0,2732.0
107.0,3,0.0,908.556349589996,29749.01,2023.0,,,1.0,7.0,1.0,0.0,2732.0
97.0,2,0.0,908.556349589996,29749.01,2023.0,,,1.0,7.0,1.0,1.0,2732.0
136.0,3,0.0,999.873975702661,28682.605,,,4.0,2.0,,1.0,0.0,2732.0
41.0,0,0.0,446.527658652703,29298.15,1994.0,6.0,4.0,1.0,,1.0,0.0,3139.0
135.0,2,0.0,887.380218670639,27690.69,2006.0,6.0,6.0,1.0,7.0,1.0,0.0,3803.0
88.0,2,0.0,847.881957661212,27504.77,2023.0,7.0,,1.0,7.0,1.0,0.0,3803.0
120.0,3,0.0,5872.20753094877,20806.28,,1.0,4.0,2.0,7.0,1.0,1.0,3370.0
104.0,2,0.0,2637.62773823713,22846.97,1974.0,6.0,4.0,1.0,3.0,1.0,0.0,2732.0
290.0,4,0.0,416.44626635774,25150.48,,7.0,,,,0.0,0.0,3803.0
168.0,3,0.0,1346.97402818105,26958.42,2024.0,,4.0,2.0,7.0,1.0,0.0,2732.0
111.0,2,0.0,1346.97402818105,26958.42,2024.0,,4.0,2.0,7.0,1.0,0.0,2732.0
136.0,2,0.0,1346.97402818105,26958.42,2024.0,,4.0,2.0,7.0,1.0,0.0,2732.0
111.0,2,0.0,1346.97402818105,26958.42,2024.0,,4.0,2.0,7.0,1.0,0.0,2732.0
168.0,3,0.0,1346.97402818105,26958.42,2024.0,,4.0,2.0,7.0,1.0,0.0,2732.0
136.0,2,0.0,1346.97402818105,26958.42,2024.0,,4.0,2.0,7.0,1.0,0.0,2732.0
105.0,2,0.0,500.322530790959,25611.88,1976.0,5.0,1.0,1.0,1.0,1.0,0.0,2214.0
87.0,2,0.0,319.073974233711,24424.76,,5.0,4.0,1.0,3.0,1.0,0.0,1840.0
88.0,2,0.0,16551.0382636211,20568.86,1950.0,1.0,3.0,1.0,,0.0,0.0,3370.0
85.0,2,0.0,1646.6212898689,24171.12,,3.0,4.0,1.0,5.0,0.0,0.0,2214.0
90.0,2,0.0,1979.49869381353,20318.67,,6.0,5.0,1.0,5.0,0.0,0.0,1840.0
105.0,2,0.0,319.073974233711,24424.76,,7.0,4.0,1.0,7.0,1.0,0.0,1840.0
100.0,2,0.0,8195.96385319164,29267.82,2023.0,7.0,4.0,1.0,7.0,1.0,0.0,3370.0
95.0,2,0.0,8195.96385319164,29267.82,2024.0,7.0,4.0,1.0,5.0,1.0,0.0,3370.0
100.0,2,0.0,8195.96385319164,29267.82,2024.0,7.0,4.0,1.0,7.0,1.0,0.0,3370.0
100.0,2,0.0,8195.96385319164,29267.82,2023.0,7.0,4.0,1.0,,1.0,0.0,3370.0
100.0,2,0.0,8195.96385319164,29267.82,2024.0,7.0,4.0,1.0,5.0,1.0,0.0,3370.0
95.0,2,0.0,8195.96385319164,29267.82,2024.0,7.0,4.0,1.0,5.0,1.0,0.0,3370.0
127.0,2,0.0,2845.52815329395,21157.8,,6.0,4.0,1.0,3.0,0.0,0.0,2214.0
75.0,1,0.0,16335.835656872,18533.31,1966.0,4.0,6.0,1.0,5.0,1.0,0.0,3370.0
78.0,2,0.0,530.00559846318,27122.92,2024.0,,4.0,1.0,3.0,1.0,0.0,3803.0
59.0,1,0.0,530.00559846318,27122.92,2024.0,,4.0,1.0,3.0,1.0,0.0,3803.0
38.0,1,0.0,530.00559846318,27122.92,1984.0,6.0,4.0,0.0,,0.0,0.0,3803.0
91.0,2,0.0,1078.49810974947,24620.79,2025.0,,6.0,1.0,7.0,0.0,0.0,3803.0
65.0,1,0.0,631.7697515288,28919.13,2017.0,,6.0,1.0,,0.0,0.0,2845.0
,1,0.0,416.44626635774,25150.48,2001.0,7.0,4.0,1.0,,0.0,0.0,3803.0
126.0,3,0.0,530.00559846318,27122.92,1970.0,5.0,4.0,1.0,,0.0,0.0,3803.0
86.0,1,0.0,1762.33283201771,24368.27,2022.0,7.0,4.0,1.0,,0.0,0.0,3803.0
201.0,3,0.0,8195.96385319164,29267.82,,7.0,,3.0,,0.0,0.0,3370.0
181.0,3,0.0,8195.96385319164,29267.82,,7.0,,2.0,,0.0,0.0,3370.0
130.0,2,0.0,8195.96385319164,29267.82,,7.0,6.0,2.0,8.0,0.0,0.0,3370.0
152.0,2,0.0,8195.96385319164,29267.82,,7.0,6.0,1.0,8.0,0.0,0.0,3370.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
124.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,1.0,0.0,1840.0
107.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,1.0,0.0,1840.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
124.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,1.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
98.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
93.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,0.0,0.0,1840.0
107.0,2,0.0,383.887447536195,23724.23,2024.0,,,1.0,,1.0,0.0,1840.0
187.0,4,0.0,530.00559846318,27122.92,1977.0,,6.0,2.0,,0.0,0.0,3803.0
80.0,2,0.0,530.00559846318,27122.92,1993.0,7.0,4.0,2.0,,0.0,0.0,3803.0
84.0,3,0.0,530.00559846318,27122.92,1996.0,7.0,4.0,2.0,,0.0,0.0,3803.0
76.0,2,0.0,1466.22667968349,23501.47,1988.0,1.0,4.0,1.0,,0.0,0.0,1840.0
130.0,2,1.0,1958.03246731215,26959.35,1935.0,4.0,,1.0,3.0,0.0,0.0,3370.0
51.0,2,0.0,1083.96456978322,26824.13,1965.0,6.0,6.0,1.0,,0.0,0.0,3803.0
